Name,Id,Description,Level,Power,BaseIntensity,Variance,BaseMana,BaseRangeConstant,BaseRangeMod,Boost,BoostVariance,MaxBoost,Category,ComponentLoss,CritFrequency,CritMultiplier,DamageRatio,DamageType,Destination,DotDuration,Duration,ElementalModifier,GetDamagePerTick,GetNumTicks,IconID,IsBeneficial,IsFellowshipSpell,IsHarmful,IsImpenBaneType,IsNegativeRedirectable,IsOtherNegativeRedirectable,IsPortalSpell,IsProjectile,IsResistable,IsSelfTargeted,IsTracking,LossPercent,MinDamage,MaxDamage,DispelSchool,Number,NumberVariance,MinPower,MaxPower,PowerVariance,MetaSpellType,NonComponentTargetType,NotFound,NumProjectiles,NumProjectilesVariance,PortalLifetime,Position,PowerMod,Proportion,RecoveryAmount,RecoveryInterval,School,SlayerCreatureType,SlayerDamageBonus,Source,SourceLoss,SpellEconomyMod,SpreadAngle,StatModKey,StatModType,StatModVal,TargetEffect,FizzleEffect,CasterEffect,TransferCap,TransferFlags,UpdatesMaxVitals,UpdatesRunRate,VitalDamageType,Wcid,WeenieClassId
Strength Other I,1,Increases the target's Strength by 10 points.,1,1,0,0,10,5,1,0,0,0,StrengthRaising,0,0,1,1,Undef,Undef,0,1800,1,0,0,100668300,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,None,0,0,0,0,0,Enchantment,Creature,FALSE,0,0,0,00000001 [0 0 0],25,1,0,0,CreatureEnchantment,Invalid,0,Undef,0,1,0,1,"Attribute, SingleStat, Additive",10,AttribUpRed,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],TRUE,Undef,0,1800
Strength Self I,2,Increases the caster's Strength by 10 points.,1,1,0,0,15,0,0,0,0,0,StrengthRaising,0.01,0,1,1,Undef,Undef,0,1800,1,0,0,100668300,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,0,None,0,0,0,0,0,Enchantment,Creature,FALSE,0,0,0,00000001 [0 0 0],25,1,0,0,CreatureEnchantment,Invalid,0,Undef,0,1,0,1,"Attribute, SingleStat, Additive",10,AttribUpRed,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],TRUE,Undef,0,1800
Weakness Other I,3,Decreases the target's Strength by 10 points.,1,1,0,0,10,5,1,0,0,0,StrengthLowering,0.01,0,1,1,Undef,Undef,0,60,1,0,0,100668300,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,0,None,0,0,0,0,0,Enchantment,Creature,FALSE,0,0,0,00000001 [0 0 0],25,1,0,0,CreatureEnchantment,Invalid,0,Undef,0,1,0,1,"Attribute, SingleStat, Additive",-10,AttribDownRed,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],TRUE,Undef,0,60
Heal Other I,5,Restores 10-25 points of the target's Health.,1,1,0,0,10,5,1,10,15,25,HealthRaising,0,0,1,1,Undef,Undef,0,0,1,0,0,100674018,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,None,0,0,0,0,0,Boost,Creature,FALSE,0,0,0,00000001 [0 0 0],25,1,0,0,LifeMagic,Invalid,0,Undef,0,1,0,0,Undef,0,HealthUpRed,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Health,0,0
Heal Self I,6,Restores 10-25 points of the caster's Health.,1,1,0,0,15,0,0,10,15,25,HealingRaising,0.01,0,1,1,Undef,Undef,0,0,1,0,0,100674019,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,0,None,0,0,0,0,0,Boost,Creature,FALSE,0,0,0,00000001 [0 0 0],25,1,0,0,LifeMagic,Invalid,0,Undef,0,1,0,0,Undef,0,HealthUpRed,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Health,0,0
Harm Other I,7,Drains 4-6 points of the target's Health.,1,1,0,0,10,10,0,-4,-2,-6,HealthLowering,0.01,0,1,1,Undef,Undef,0,0,1,0,0,100674016,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,0,None,0,0,0,0,0,Boost,Creature,FALSE,0,0,0,00000001 [0 0 0],25,1,0,0,LifeMagic,Invalid,0,Undef,0,1,0,0,Undef,0,HealthDownRed,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Health,0,0
Harm Self I,8,Drains 4-6 points of the caster's Health.,1,15,0,0,15,0,0,-4,-2,-6,HealthLowering,0.01,0,1,1,Undef,Undef,0,0,1,0,0,100674017,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,0,None,0,0,0,0,0,Boost,Creature,FALSE,0,0,0,00000001 [0 0 0],25,1,0,0,LifeMagic,Invalid,0,Undef,0,1,0,0,Undef,0,HealthDownRed,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Health,0,0
Infuse Mana Other I,9,Drains one-quarter of the caster's Mana and gives 75% of that to the target.,1,1,0,0,10,5,0.5,0,0,0,ManaTransferfromcaster,0.1,0,1,1,Undef,Mana,0,0,1,0,0,100668288,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.25,0,0,None,0,0,0,0,0,Transfer,Creature,FALSE,0,0,0,00000001 [0 0 0],25,0.25,0,0,LifeMagic,Invalid,0,Mana,0,0,0,0,Undef,0,HealthUpBlue,Invalid,Invalid,0,"CasterSource, TargetDestination",System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,0,0
Vulnerability Other I,15,Decrease the target's Melee Defense skill by 10 points.,1,1,0,0,10,0,1,0,0,0,MeleeDefenseLowering,0.01,0,1,1,Undef,Undef,0,60,1,0,0,100668331,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,0,None,0,0,0,0,0,Enchantment,Creature,FALSE,0,0,0,00000001 [0 0 0],25,1,0,0,CreatureEnchantment,Invalid,0,Undef,0,1,0,6,"Skill, SingleStat, Additive",-10,SkillDownYellow,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,0,60
Vulnerability Self I,16,Decrease the target's Melee Defense skill by 10 points.,1,1,0,0,15,0,0,0,0,0,MeleeDefenseLowering,0.01,0,1,1,Undef,Undef,0,60,1,0,0,100668331,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,0,None,0,0,0,0,0,Enchantment,Creature,FALSE,0,0,0,00000001 [0 0 0],25,1,0,0,CreatureEnchantment,Invalid,0,Undef,0,1,0,6,"Skill, SingleStat, Additive",-10,SkillDownYellow,Invalid,Invalid,0,0,System.Collections.Generic.List`1[ACE.Entity.Enum.Properties.PropertyAttribute2nd],FALSE,Undef,0,60
